# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
dao tie 	倒贴	c=1 d=1 t=6188
dao yi ge 	到一個	c=1 d=1 t=1275
dao zhe li 	到這裏	c=1 d=1 t=3577
dao zhi 	導致	c=6 d=1.12411 t=6389
de 	的	c=476 d=12.627 t=6294
de ba 	的吧	c=0 d=0.199005 t=5175
de bu 	得不	c=1 d=1 t=2583
de hua 	的話	c=8 d=0.104203 t=6239
de jian yi 	的建議	c=0 d=0.1 t=5060
de le 	的了	c=1 d=0.100004 t=3800
de li jie 	的理解	c=0 d=0.1 t=2261
de ma 	的嗎	c=0 d=0.1 t=5394
de ren 	的人	c=0 d=0.1 t=2041
de shi hou 	的時候	c=2 d=0.103986 t=6274
de ya 	的呀	c=1 d=1 t=1725
dei 	得	c=1 d=1 t=5930
dei hua dian 	得花點	c=1 d=1 t=2455
dei xiang ban fa 	得想辦法	c=1 d=1 t=609
deng 	等	c=4 d=1.04097 t=5850
deng dai 	等待	c=2 d=1.91851 t=2317
deng deng 	等等	c=2 d=1.00007 t=3327
deng hui er 	等會兒	c=4 d=1.00001 t=6007
deng ji 	登記	c=1 d=1 t=3677
deng lao ban 	等老闆	c=1 d=1 t=4721
deng lu 	登陸	c=2 d=1.39259 t=6180
deng ni 	等你	c=2 d=1.00249 t=5552
deng shi fen zhong 	等十分鐘	c=1 d=1 t=2076
deng ta 	等他	c=1 d=1 t=5513
deng yu 	等於	c=3 d=1.02441 t=4554
di 	低	c=1 d=1 t=6179
di 	地	c=1 d=1 t=6178
di 	第	c=1 d=1 t=1843
di bu 	底部	c=1 d=1 t=5667
di er 	第二	c=0 d=0.1 t=2850
di er ge 	第二個	c=1 d=1 t=5163
di er ge 	迪爾格	c=1 d=1 t=2756
di er ji 	第二級	c=1 d=1 t=2678
di er lie 	第二列	c=3 d=1 t=5599
di er tian 	第二天	c=1 d=1 t=5747
di fang 	地方	c=9 d=1.5728 t=6353
di le 	低了	c=1 d=0.10001 t=6214
di san ci 	第三次	c=1 d=1 t=3979
di san ci shi 	第三次是	c=1 d=1 t=3690
di san ge 	第三個	c=1 d=1 t=4122
di shi ni 	迪士尼	c=1 d=1 t=6137
di si bu 	第四步	c=1 d=1 t=2026
di tie 	地鐵	c=0 d=0.1 t=6225
di tie kou 	地鐵口	c=1 d=1 t=6226
di xia 	底下	c=1 d=1 t=521
di yi 	第一	c=1 d=1 t=5477
di yi ceng 	第一層	c=2 d=1 t=3807
di yi ci 	第一次	c=3 d=1.47611 t=5649
di yi ge 	第一個	c=5 d=2.27549 t=4936
di yi hang 	第一行	c=1 d=1 t=2750
di yi lie 	第一列	c=3 d=1 t=5598
dian 	點	c=12 d=1.19324 t=6079
dian ban 	點半	c=1 d=1 t=3572
dian che 	電車	c=1 d=1 t=4655
dian de 	點的	c=0 d=0.1 t=4674
dian dian 	點點	c=5 d=1.30215 t=5023
dian dong xi 	點東西	c=1 d=1 t=5693
dian hua 	電話	c=1 d=1 t=3287
dian ji 	點擊	c=8 d=1.00002 t=5364
dian ji hou 	點擊後	c=2 d=1.41271 t=2879
dian le 	點了	c=2 d=1.40258 t=2071
dian li 	典禮	c=1 d=1 t=5831
dian yi ge 	點一個	c=1 d=1 t=3848
dian yi quan 	點一圈	c=1 d=1 t=591
dian yi xia 	點一下	c=8 d=2.78474 t=3987
dian zi 	電子	c=0 d=0.1 t=3340
dian zi ka 	電子卡	c=1 d=1 t=3341
diao 	掉	c=0 d=0.100282 t=3643
diao le 	掉了	c=1 d=1 t=862
diao yan 	調研	c=1 d=1 t=4193
diao yong 	調用	c=6 d=3.72073 t=3208
diao yong de 	調用的	c=1 d=1 t=391
diao yong guan xi 	調用關係	c=1 d=1 t=248
ding 	定	c=1 d=1 t=1692
ding le 	定了	c=0 d=0.1 t=4075
ding xia lai 	定下來	c=1 d=1 t=5782
ding yi 	定義	c=4 d=1.00005 t=5736
ding yue 	訂閱	c=3 d=2.38231 t=472
ding zhi 	定製	c=2 d=1.43823 t=1556
dong 	動	c=1 d=1 t=114
dong 	懂	c=0 d=0.1 t=5321
dong 	東	c=1 d=1 t=5833
dong de 	懂的	c=1 d=1 t=6185
dong fang 	東方	c=0 d=0.1 t=6054
dong fang shu ye 	東方樹葉	c=1 d=1 t=6055
dong guo 	動過	c=1 d=1 t=5794
dong hua 	動畫	c=2 d=1.7827 t=1447
dong le 	懂了	c=0 d=0.1 t=35
dong ma 	懂嗎	c=0 d=0.1 t=2951
dong tai 	動態	c=1 d=1 t=3316
dong xi 	東西	c=10 d=2.3735 t=5796
dou 	都	c=15 d=3.10225 t=6001
dou bei 	都被	c=1 d=1 t=895
dou bu neng 	都不能	c=1 d=1 t=3524
dou bu zhi dao 	都不知道	c=0 d=0.1 t=5951
dou fang 	都放	c=1 d=1 t=5437
dou fang you bian 	都放右邊	c=1 d=1 t=4770
dou hai 	豆海	c=0 d=0.1 t=1665
dou hai 	都還	c=0 d=0.1 t=1666
dou hai zai 	豆海在	c=1 d=1 t=1666
dou hai zai 	都還在	c=1 d=1 t=1667
dou hao 	逗號	c=2 d=1 t=4852
dou hao 	都好	c=0 d=0.1 t=6311
dou hui 	都會	c=4 d=0.581909 t=5046
dou hui yi huo 	都會疑惑	c=1 d=1 t=5047
dou ke yi 	都可以	c=2 d=1.2739 t=351
dou liao le xie 	都聊了些	c=1 d=1 t=1908
dou mei 	都沒	c=3 d=1.03768 t=5442
dou mei you 	都沒有	c=5 d=1.00054 t=5996
dou mei zuo guo 	都沒做過	c=1 d=1 t=5238
dou neng 	都能	c=2 d=1.98511 t=5118
dou shi 	都是	c=9 d=1.0077 t=5957
dou shi zhe ge cuo wu 	都是這個錯誤	c=1 d=1 t=4027
dou shuo 	都說	c=1 d=1 t=551
dou xie 	都寫	c=0 d=0.1 t=428
dou xie de 	都寫的	c=1 d=1 t=429
dou yao 	都要	c=1 d=1 t=5144
dou yi jing 	都已經	c=1 d=1 t=3019
dou yin 	抖音	c=2 d=1.15961 t=6033
dou ying gai 	都應該	c=0 d=0.1 t=4342
dou ying gai shi 	都應該是	c=1 d=1 t=4343
dou you 	都有	c=3 d=1.12281 t=2932
dou zai 	都在	c=4 d=1.70894 t=3781
dou zhi xiang 	都指向	c=1 d=1 t=3732
du 	讀	c=2 d=1.00259 t=1896
du le 	讀了	c=1 d=1 t=3891
du li 	独立	c=1 d=1 t=5830
du qu 	讀取	c=5 d=1.11757 t=5605
du yan 	讀研	c=1 d=1 t=6289
du zi 	肚子	c=1 d=1 t=6274
duan kou 	端口	c=3 d=1.96082 t=4076
duan luo 	段落	c=1 d=1 t=3382
dui 	對	c=9 d=1.13737 t=5745
dui a 	對啊	c=1 d=1 t=6143
dui ba 	對吧	c=4 d=1.45612 t=3737
dui bi 	對比	c=1 d=1 t=310
dui de 	對的	c=1 d=1 t=4916
dui hua 	對話	c=1 d=1 t=2744
dui hua kuang 	對話框	c=2 d=1.6553 t=2908
dui ma 	對嗎	c=3 d=1.00001 t=2992
dui o 	對哦	c=1 d=1 t=6207
dui qi 	對其	c=0 d=0.1 t=351
dui qi 	對齊	c=3 d=1.907 t=5721
dui qi jin xing xiu gai 	對其進行修改	c=1 d=1 t=352
dui wo 	對我	c=0 d=0.1 t=660
dui wo lai shuo 	對我來說	c=1 d=1 t=3375
dui ying 	對應	c=4 d=1.00006 t=5136
dui ying de 	對應的	c=4 d=1.93321 t=3117
dui yu 	對於	c=1 d=1 t=4526
dui zhe ge 	對這個	c=2 d=1.0251 t=2639
duo 	多	c=1 d=0.16298 t=4711
duo ceng ji 	多層級	c=1 d=1 t=2658
duo chu lai 	多出來	c=0 d=0.1 t=3677
duo chu lai de 	多出來的	c=1 d=1 t=3678
duo ci 	多次	c=0 d=0.1 t=6252
duo gan 	多幹	c=1 d=1 t=3900
duo ge 	多個	c=11 d=1.19526 t=6239
duo hang 	多行	c=2 d=1 t=5706
duo jia 	多加	c=1 d=1 t=5615
duo jiu 	多久	c=2 d=1.00001 t=6168
duo le 	多了	c=2 d=1 t=6158
duo lun duo 	多倫多	c=1 d=1 t=3875
duo shao 	多少	c=0 d=0.1 t=3949
duo xian shi 	多顯示	c=1 d=1 t=4712
duo xuan 	多選	c=2 d=1.00001 t=2574
duo yu 	多余	c=1 d=1 t=2423
duo yue 	多月	c=0 d=0.1 t=5926
duo yue chu lai 	多約出來	c=1 d=1 t=3553
duo zhong yao 	多重要	c=1 d=1 t=3552
e 	額	c=2 d=1.01641 t=6048
e xin 	噁心	c=0 d=0.1 t=4796
e zi 	蛾子	c=0 d=0.1 t=4390
en 	嗯	c=10 d=1.51366 t=5967
en 	恩	c=1 d=1 t=677
er 	而	c=3 d=1.00069 t=5576
er bu shi 	而不是	c=2 d=1.92312 t=2925
er bu tong de 	而不同的	c=1 d=1 t=4581
er cheng 	而成	c=1 d=1 t=2866
er cong 	而從	c=1 d=1 t=5603
er ji guan 	二極管	c=1 d=1 t=4685
er ni na li 	而你那裏	c=1 d=1 t=2999
er qie 	而且	c=6 d=1.01322 t=6120
er qie zhe ge shuo fa 	而且這個說法	c=1 d=1 t=3850
er shi 	而是	c=2 d=1.00041 t=4697
er wo 	而我	c=1 d=1 t=3690
er xia mian 	而下面	c=1 d=1 t=707
fa 	發	c=2 d=0.125224 t=3354
fa de 	發的	c=1 d=1 t=3293
fa hui 	法会	c=0 d=0.1 t=263
fa hui 	發揮	c=0 d=0.1 t=264
fa hui le 	法会了	c=1 d=1 t=264
fa hui le 	發揮了	c=1 d=1 t=265
fa ni le 	發你了	c=1 d=1 t=3225
fa qun li 	發羣裏	c=1 d=1 t=2526
fa sheng 	發生	c=0 d=0.1 t=472
fa sheng bian hua 	發生變化	c=1 d=1 t=4901
fa sheng le 	發生了	c=1 d=1 t=473
fa xian 	發現	c=3 d=1 t=5854
fa xian de 	發現的	c=1 d=1 t=646
fa xue 	法學	c=2 d=1.9802 t=6151
fa yi xia 	發一下	c=1 d=1 t=3355
fan chang 	反常	c=0 d=0.1 t=2487
fan er 	反而	c=1 d=0.1 t=5371
fan guo lai 	反過來	c=1 d=1 t=5722
fan hui 	返回	c=8 d=1.21889 t=5647
fan hui zhi 	返回值	c=1 d=1 t=1803
fan kui 	反饋	c=1 d=1 t=3504
fan wei 	範圍	c=1 d=1 t=2669
fan xiang 	反向	c=1 d=1 t=6346
fan zheng 	反正	c=7 d=1.02379 t=5895
fang 	房	c=1 d=1 t=6181
fang 	放	c=1 d=1.0417 t=5697
fang an 	方案	c=4 d=1.21717 t=5897
fang an si 	方案四	c=1 d=1 t=4644
fang bu xia 	放不下	c=1 d=1 t=3219
fang da 	放大	c=1 d=1 t=3772
fang dao 	放到	c=1 d=1 t=4266
fang de 	放的	c=0 d=0.1 t=4267
fang di 	放低	c=0 d=0.1 t=3376
fang di yi dian 	放低一點	c=1 d=1 t=3377
fang fa 	方法	c=2 d=0.100059 t=5544
fang ge 	方格	c=1 d=1 t=3961
fang jia 	放假	c=0 d=0.1 t=5432
fang jia de 	放假的	c=1 d=1 t=5433
fang qi 	放棄	c=1 d=1 t=3547
fang shang mian 	放上面	c=3 d=1.98511 t=5706
fang shen me 	放什麼	c=1 d=1 t=1042
fang shi 	方式	c=1 d=0.100008 t=5181
fang wai mian 	放外面	c=1 d=0.156416 t=5859
fang wen 	訪問	c=3 d=1.04041 t=6044
fang wen le ma 	訪問了嗎	c=1 d=1 t=4351
fang xia mian 	放下面	c=1 d=1 t=3672
fang xiang 	方向	c=1 d=1 t=2926
fang yi fang 	放一放	c=1 d=1 t=5576
fang zai 	放在	c=6 d=1.60133 t=5924
fang zai na li 	放在哪裏	c=1 d=1 t=1521
fang zhe li 	放這裏	c=1 d=1 t=5451
fang zhi 	防止	c=1 d=1 t=3708
fei 	費	c=1 d=1 t=6242
fei 	非	c=2 d=1.73345 t=2527
fei chang 	非常	c=0 d=0.10011 t=6263
fei chang da 	非常大	c=1 d=1 t=5129
fei chang kuai 	非常快	c=0 d=0.1 t=3501
fei chang kuai de 	非常快的	c=1 d=1 t=3502
fei chang luo hou 	非常落後	c=1 d=1 t=6264
fei chang nan gao 	非常難搞	c=1 d=1 t=4902
fei jin 	費勁	c=1 d=1 t=5502
fei zhou 	非洲	c=1 d=1 t=6042
fen 	分	c=3 d=1.01654 t=5861
fen 	粉	c=1 d=1 t=6054
fen cheng 	分成	c=1 d=1 t=5614
fen de 	分的	c=3 d=1.00033 t=5856
fen ge 	分隔	c=1 d=1 t=4853
fen le 	分了	c=1 d=1 t=2193
fen pei 	分配	c=1 d=1 t=4193
fen pei gei 	分配給	c=1 d=1 t=4219
fen qu 	分區	c=1 d=1 t=6074
fen xiang 	分享	c=0 d=0.1 t=5891
fen zhi 	分支	c=4 d=2.96167 t=5783
fen zhong 	分鐘	c=3 d=1.05157 t=5582
fen zu 	分組	c=3 d=2.89319 t=2677
fen zu jian 	分組件	c=1 d=1 t=5862
feng ge 	風格	c=3 d=1.93717 t=2948
feng hao 	封號	c=1 d=1 t=6064
feng huang chuan qi 	鳳凰傳奇	c=1 d=1 t=849
fou ze 	否則	c=4 d=1.06147 t=5608
fu 	副	c=0 d=0.1 t=335
fu 	父	c=2 d=0.1003 t=2138
fu gai 	覆蓋	c=1 d=1 t=5134
fu gai diao 	覆蓋掉	c=1 d=1 t=3644
fu gei 	賦給	c=1 d=1 t=4230
fu hao 	符號	c=1 d=1 t=5634
fu he 	符合	c=0 d=0.1 t=4326
fu wei kai 	傅偉凱	c=1 d=1 t=2946
fu wu 	服務	c=5 d=1 t=5728
fu xuan kuang 	複選框	c=4 d=1.98641 t=2781
fu ye 	副業	c=1 d=1 t=6323
fu yong 	復用	c=1 d=1 t=67
fu za 	複雜	c=3 d=1.46301 t=3239
fu ze 	負責	c=1 d=0.101038 t=1717
fu zhi 	富之	c=1 d=1 t=322
fu zhi 	複製	c=4 d=2.38554 t=5773
fu zhi 	賦值	c=0 d=0.1 t=1788
fu zhi de 	複製的	c=1 d=1 t=625
fu zi yuan 	父資源	c=1 d=1 t=2139
fu zu jian 	副組件	c=3 d=2.88468 t=355
fu zu jian 	父組件	c=1 d=1 t=386
gai 	改	c=5 d=1.17309 t=6405
gai 	該	c=3 d=1.99501 t=5855
gai bian 	改變	c=2 d=1.30728 t=5860
gai bian ne 	改變呢	c=1 d=1 t=294
gai bu dong 	改不動	c=1 d=1 t=1724
gai cheng 	改成	c=5 d=0.132598 t=6329
gai cheng xiao xie 	改成小寫	c=1 d=1 t=6330
gai chu lai de 	改出來的	c=1 d=1 t=6406
gai de 	改得	c=0 d=0.1 t=150
gai de 	改的	c=3 d=1.99565 t=5629
gai de dong xi 	改得東西	c=1 d=1 t=151
gai diao 	改掉	c=0 d=0.1 t=758
gai diao le de 	改掉了的	c=1 d=1 t=759
gai dong 	改動	c=4 d=1.00183 t=6388
gai gai 	改改	c=1 d=1 t=6011
gai ge 	改個	c=2 d=1 t=4776
gai guo lai 	改過來	c=0 d=0.1 t=2501
gai guo lai le 	改過來了	c=1 d=1 t=2502
gai jin 	改進	c=0 d=0.1 t=3238
gai le 	改了	c=2 d=0.804688 t=5989
gai le ya 	改了呀	c=1 d=1 t=733
gai ming 	改名	c=1 d=1 t=1685
gai na li 	改哪裏	c=1 d=1 t=619
gai wan 	改完	c=2 d=1 t=5197
gai wei 	改爲	c=1 d=1 t=2583
gai xiao 	改小	c=0 d=0.1 t=1288
gai xiao yi dian 	改小一點	c=1 d=1 t=1289
gai yan se 	改顏色	c=1 d=1 t=5639
gai yao 	概要	c=1 d=1 t=5899
gai yi xia 	改一下	c=1 d=1 t=5612
gai yong 	改用	c=3 d=1.65298 t=1527
gai zen me 	該怎麼	c=1 d=1 t=5853
gan 	幹	c=0 d=0.1 t=5435
gan 	趕	c=1 d=1.00027 t=5419
gan bu gan 	敢不敢	c=0 d=0.1 t=4399
gan bu gan de 	敢不敢的	c=1 d=1 t=4400
gan bu wan 	幹不完	c=1 d=1 t=5436
gan guo 	幹過	c=1 d=1 t=3649
gan jin 	趕緊	c=1 d=1 t=5113
gan jue 	感覺	c=10 d=1.54531 t=6001
gan le 	趕了	c=1 d=1 t=5852
gan ma 	幹嘛	c=0 d=0.105555 t=6235
gan ma de 	幹嘛的	c=1 d=1 t=5052
gan shang 	趕上	c=1 d=0.106036 t=5409
gan shen me 	幹什麼	c=1 d=1 t=2386
gan xing qu 	感興趣	c=1 d=1 t=6129
gang 	剛	c=3 d=0.256694 t=5173
gang cai 	剛纔	c=1 d=0.104006 t=4785
gang cai de 	剛纔的	c=2 d=1 t=2921
gang cai kai hui 	剛纔開會	c=1 d=1 t=4786
gang chu 	剛出	c=1 d=1 t=5742
gang gao ding 	剛搞定	c=1 d=1 t=4257
gang hao 	剛好	c=1 d=0.100077 t=5558
gang hao yao 	剛好要	c=1 d=1 t=2980
gang jie shu 	剛結束	c=1 d=1 t=5174
gang kai shi 	剛開始	c=2 d=0.145049 t=6058
gang kai shi na 	剛開始拿	c=1 d=1 t=6059
gang kai wan 	剛開完	c=1 d=1 t=2504
gang xie hao 	剛寫好	c=1 d=1 t=144
gang yao 	綱要	c=1 d=1 t=5437
gang zhu yi dao 	剛注意到	c=1 d=1 t=2080
gao 	搞	c=1 d=0.101125 t=5442
gao bu ding 	搞不定	c=2 d=1 t=6014
gao de 	搞得	c=1 d=1 t=465
gao dian 	高點	c=0 d=0.1 t=6286
gao ding 	搞定	c=2 d=1.06161 t=4490
gao ding le 	搞定了	c=0 d=0.1 t=4346
gao ding le ma 	搞定了嗎	c=1 d=1 t=4347
gao du 	高度	c=3 d=2.92275 t=5565
gao le 	搞了	c=0 d=0.1 t=4800
gao le zhang 	搞了張	c=1 d=1 t=4801
gao ming bai 	搞明白	c=1 d=1 t=5443
gao su 	告訴	c=1 d=1 t=81
gao su 	高速	c=0 d=0.1 t=5662
gao su wo 	告訴我	c=1 d=1 t=121
ge 	個	c=13 d=1.71998 t=6136
ge 	各	c=0 d=0.1 t=2635
ge 	哥	c=1 d=1 t=2689
ge 	隔	c=0 d=0.1 t=6069
ge dai biao 	各代表	c=1 d=1 t=2636
ge duo yue 	個多月	c=1 d=1 t=5927
ge ge 	各個	c=2 d=1.82696 t=1065
ge ji tian 	隔幾天	c=1 d=1.09005 t=6072
ge ji tian dai 	隔幾天帶	c=1 d=1 t=6073
ge kai 	隔開	c=1 d=1 t=231
ge men 	哥們	c=31 d=7.77672 t=6282
ge shi 	格式	c=2 d=1 t=5520
ge shu 	個數	c=1 d=1 t=2398
ge zhong 	各種	c=2 d=1.00019 t=3117
ge zu 	各組	c=0 d=0.1 t=469
ge zu jian 	各組件	c=1 d=1 t=470
gei 	給	c=14 d=2.00287 t=5710
gei chu 	給出	c=2 d=1.00181 t=5894
gei chu de 	給出的	c=1 d=1 t=2354
gei chu le 	給出了	c=2 d=1.99501 t=3653
gei ding 	給定	c=1 d=1 t=5579
gei ge 	給個	c=1 d=1 t=5640
gei ge mian zi 	給個面子	c=1 d=1 t=2198
gei guo 	給過	c=1 d=1 t=6276
gei le 	給了	c=1 d=1 t=3577
gei ni 	給你	c=3 d=1.00013 t=5892
gei ni na le 	給你拿了	c=1 d=1 t=3642
gei qu diao 	給去掉	c=1 d=1 t=5213
gei ren 	給人	c=1 d=1.00011 t=5947
gei ren yi zhong 	給人一種	c=1 d=1 t=4592
gei ta 	給他	c=2 d=0.107375 t=5775
gei ta men 	給他們	c=1 d=1 t=4716
gei wo 	給我	c=4 d=0.83149 t=6014
gei wo de 	給我的	c=1 d=1 t=2549
gei wo shi jian 	給我時間	c=1 d=1 t=6015
gei wo yi ge 	給我一個	c=1 d=1 t=4774
gen 	根	c=2 d=1.00787 t=1969
gen 	跟	c=0 d=0.1 t=2699
gen ben 	根本	c=3 d=1.00067 t=4680
gen ju 	根據	c=10 d=4.13794 t=5578
gen ni 	跟你	c=3 d=1.89622 t=5602
gen ni shuo 	跟你說	c=1 d=1 t=3962
gen sui 	跟隨	c=1 d=1 t=5708
gen ta 	跟他	c=1 d=1 t=3039
gen wo 	跟我	c=1 d=1 t=3930
gen wo shuo 	跟我說	c=0 d=0.1 t=5058
gen yi ge 	跟一個	c=1 d=1 t=2700
gen yuan 	根源	c=1 d=1 t=3732
gen zhe 	跟着	c=2 d=1 t=5345
geng 	更	c=1 d=1.10123 t=5848
geng chang jian 	更常见	c=1 d=1 t=6081
geng duo 	更多	c=1 d=0.1 t=5755
geng duo de 	更多的	c=1 d=1 t=6243
geng hao 	更好	c=1 d=1 t=5595
geng hao de 	更好地	c=1 d=1 t=3529
geng hua shi jian ba 	更花時間吧	c=1 d=1 t=4156
geng jia 	更加	c=1 d=1 t=5404
geng jing que 	更精確	c=1 d=1 t=5259
geng ming xian 	更明顯	c=1 d=1 t=4620
geng qian de 	更淺的	c=1 d=1 t=4698
geng xiao 	更小	c=1 d=1 t=3078
geng xin 	更新	c=3 d=1 t=5749
geng zheng 	更正	c=1 d=1 t=953
gong 	工	c=0 d=0.1 t=5852
gong huo 	供貨	c=1 d=1 t=3640
gong kai 	公開	c=0 d=0.1 t=1208
gong neng 	功能	c=3 d=0.175038 t=3712
gong si 	公司	c=1 d=1 t=2491
gong zi 	工資	c=1 d=1 t=6177
gong zuo 	工作	c=1 d=1 t=3511
gou 	勾	c=2 d=1.54335 t=2038
gou bu gou 	夠不夠	c=1 d=1 t=1935
gou le 	夠了	c=1 d=1 t=5291
gou tong 	溝通	c=0 d=0.1 t=2680
gou tong gou tong 	溝通溝通	c=1 d=1 t=2681
gou xuan 	勾選	c=1 d=1 t=2719
gou zao 	構造	c=1 d=1 t=175
gu ding 	固定	c=1 d=1.07945 t=4695
gu ding zhu 	固定住	c=1 d=1 t=4650
gu ji 	估計	c=2 d=1 t=5988
gu ji shi 	估計是	c=1 d=1 t=1318
gua 	掛	c=1 d=1 t=3014
gua diao 	掛掉	c=0 d=0.1 t=4171
gua diao de 	掛掉的	c=1 d=1 t=4172
gua le 	掛了	c=0 d=0.1 t=3798
gua zai 	掛在	c=1 d=1 t=2954
guan 	管	c=1 d=0.331078 t=4030
guan bi 	關閉	c=3 d=1.00001 t=2794
guan bu liao 	管不了	c=0 d=0.1 t=4731
guan cha 	觀察	c=1 d=1 t=6213
guan diao 	關掉	c=1 d=1 t=334
guan jian 	關鍵	c=1 d=1 t=5922
guan le 	管了	c=0 d=0.1 t=169
guan le 	關了	c=0 d=0.1 t=349
guan li 	管理	c=3 d=2.90317 t=406
guan lian 	關聯	c=1 d=1 t=215
guan wang 	官網	c=1 d=1 t=3292
guan xi 	關係	c=2 d=1 t=5962
guan zhu 	關注	c=1 d=1 t=3817
guang 	光	c=1 d=1 t=5439
gui 	歸	c=3 d=2.52226 t=4134
gui ding 	規定	c=1 d=1 t=2541
gui fan 	規範	c=1 d=1 t=3052
gui hua 	归化	c=1 d=1 t=5875
gui hua 	規劃	c=3 d=2.1913 t=6100
gui mo 	規模	c=1 d=1 t=1634
gun 	滾	c=1 d=1 t=5932
gun dong 	滾動	c=3 d=1.52275 t=5167
guo 	過	c=4 d=0.818716 t=6027
guo cheng 	過程	c=3 d=1 t=5939
guo cheng zhong 	過程中	c=1 d=1 t=4455
guo de 	過的	c=0 d=0.1 t=4688
guo lai 	過來	c=2 d=1 t=6116
guo le 	過了	c=3 d=0.706603 t=6264
guo le ma 	過了嗎	c=1 d=1 t=5161
guo le yi ding nian ling 	過了一定年齡	c=1 d=1 t=6265
guo liang zhou 	過兩周	c=1 d=1 t=2957
guo lv 	過濾	c=1 d=1 t=2862
guo lv diao 	過濾掉	c=0 d=0.1 t=4997
guo lv diao le 	過濾掉了	c=1 d=1 t=4998
guo qu 	過去	c=2 d=1 t=5580
guo qu le 	過去了	c=1 d=1 t=3015
guo wai 	國外	c=1 d=1 t=3890
guo yi xia 	過一下	c=1 d=1 t=491
guo yu 	過於	c=1 d=1 t=4040
ha ha 	哈哈	c=4 d=1.05997 t=6398
ha ha ha 	哈哈哈	c=2 d=1 t=5107
hai 	還	c=4 d=0.361747 t=6378
hai bu cuo 	還不錯	c=1 d=1 t=3200
hai bu neng 	還不能	c=1 d=1 t=4753
hai bu qing chu 	還不清楚	c=1 d=1 t=5943
hai bu ru 	還不如	c=1 d=1 t=6140
hai dei 	還得	c=2 d=0.100002 t=6336
hai dei shi 	還得是	c=1 d=1 t=6337
hai hao 	還好	c=0 d=0.1 t=6276
hai hui lai 	還回來	c=1 d=1 t=3329
hai hui you 	還會有	c=0 d=0.1 t=4895
hai hui you wen ti 	還會有問題	c=1 d=1 t=4896
hai hui you yi ge 	還會有一個	c=1 d=1 t=3702
hai jian yi 	還建議	c=1 d=1 t=79
hai ke yi 	還可以	c=2 d=1.02193 t=5983
hai mei 	還沒	c=3 d=0.195513 t=5983
hai mei jin qu 	還沒進去	c=1 d=1 t=3325
hai mei kan dao 	還沒看到	c=1 d=1 t=5984
hai mei you 	還沒有	c=1 d=1 t=3320
hai ning 	海寧	c=1 d=1 t=6194
hai qian yi 	還遷移	c=1 d=1 t=5921
hai rang 	還讓	c=0 d=0.1 t=5123
hai rang bu rang 	還讓不讓	c=1 d=1 t=5124
hai shi 	還是	c=31 d=1.89092 t=6214
hai shi ge 	還是個	c=0 d=0.1 t=6265
hai shi shuo 	還是說	c=1 d=1 t=6385
hai suan 	還算	c=0 d=0.1 t=1677
hai suan kao pu 	還算靠譜	c=1 d=1 t=1678
hai ting kuai 	還挺快	c=1 d=1 t=6379
hai wo zhe 	還握着	c=1 d=1 t=1050
hai xing 	還行	c=1 d=0.109372 t=6212
hai xing ba 	還行吧	c=1 d=1 t=3797
hai xu yao 	還需要	c=3 d=1 t=6178
hai yao 	還要	c=2 d=1 t=6187
hai yao ge 	還要個	c=1 d=1 t=2522
hai yao ji tian 	還要幾天	c=1 d=1 t=2159
hai yi wei 	還以爲	c=0 d=0.1 t=4035
hai you 	還有	c=9 d=1.81499 t=6176
hai you bi yao 	還有必要	c=1 d=1 t=1821
hai you jiu shi 	還有就是	c=2 d=1.34473 t=3548
hai you mei you 	還有沒有	c=2 d=1 t=3601
hai you sha wen ti 	還有啥問題	c=1 d=1 t=534
hai you shen me 	還有什麼	c=1 d=1 t=6172
hai you wen ti 	還有問題	c=1 d=1 t=4811
hai you yi ge 	還有一個	c=1 d=1 t=3777
hai zai 	還在	c=3 d=0.143919 t=5490
hai zai shui jiao 	還在睡覺	c=1 d=1 t=5491
hai zao 	還早	c=0 d=0.1 t=2516
hai zao zhe ne 	還早着呢	c=1 d=1 t=2517
hai zhen shi 	還真是	c=1 d=1 t=5458
han chu lai 	喊出來	c=1 d=1 t=6259
han shu 	函數	c=4 d=1 t=5402
hang 	行	c=7 d=1.20135 t=5836
hang lie 	行列	c=1 d=1 t=1393
hang zhou 	杭州	c=3 d=2.42572 t=6236
hao 	好	c=5 d=0.542621 t=6208
hao 	號	c=3 d=2.96062 t=5417
hao ba 	好吧	c=4 d=1.93302 t=5427
hao de 	好的	c=6 d=1.66285 t=5986
hao e xin 	好噁心	c=1 d=1 t=4797
hao fang fa 	好方法	c=1 d=1 t=2352
hao gai de 	好改的	c=1 d=1 t=1137
hao hao 	好好	c=1 d=1 t=5538
hao hao de 	好好的	c=1 d=1 t=6002
hao ji ci 	好幾次	c=1 d=1 t=2544
hao kong bu 	好恐怖	c=2 d=1.97045 t=6205
hao le 	好了	c=1 d=1 t=1057
hao le ma 	好了嗎	c=0 d=0.1 t=3409
hao miao 	毫秒	c=1 d=1 t=4324
hao shi 	耗時	c=1 d=1 t=3368
hao shuo 	好說	c=0 d=0.1 t=1660
hao xiang 	好像	c=18 d=3.95187 t=6183
